,Cdd,Hdd
USA_NE_Lincoln.Muni.AP.725510_TMY3,1466,6138
USA_OH_Dayton.Intl.AP.724290_TMY3,1103,6144
USA_NE_Imperial.Muni.AP.725626_TMY3,1332,6146
USA_PA_Altoona-Blair.County.AP.725126_TMY3,830,6150
USA_OH_Dayton.745700_TMY2,940,6154
USA_NE_Omaha-Eppley.Airfield.725500_TMY3,1474,6155
USA_OH_Cleveland-Burke.Lakefront.AP.725245_TMY3,892,6170
USA_RI_Providence.725070_TMY2,801,6177
USA_MA_Lawrence.Muni.AP.744904_TMY3,799,6179
USA_PA_Pittsburgh.Intl.AP.725200_TMY,865,6181
USA_IN_Lafayette-Purdue.University.AP.724386_TMY3,1175,6181
USA_IN_South.Bend-Michiana.Rgnl.AP.725350_TMY3,1097,6193
USA_MI_Detroit-City.AP.725375_TMY,1077,6196
USA_IA_Chariton.Muni.AP.725469_TMY3,1418,6199
USA_RI_Providence-T.F.Green.State.AP.725070_TMY,869,6201
USA_IA_Red.Oak.Muni.AP.725494_TMY3,1444,6203
USA_IN_Grissom.AFB.725335_TMY3,1071,6216
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3,978,6217
USA_PA_Pittsburgh.725200_TMY2,920,6225
USA_NE_Omaha-Eppley.Airfield.725500_TMY,1340,6235
USA_IA_Fairfield.Muni.AP.726498_TMY3,1326,6273
USA_NE_Omaha.725500_TMY2,1276,6278
USA_KS_Goodland-Renner.Field.724650_TMY3,1284,6284
USA_NY_Poughkeepsie-Dutchess.County.AP.725036_TMY3,856,6285
USA_IA_Clarinda.Muni.AP.725479_TMY3,1533,6287
USA_PA_Harrisburg.Intl.AP.725115_TMY3,1307,6288
USA_IA_Burlington.Muni.AP.725455_TMY,1190,6322
USA_IL_Chicago-Midway.AP.725340_TMY,1178,6323
USA_PA_Williamsport.725140_TMY2,907,6323
USA_NE_Hastings.Muni.AP.725525_TMY3,1350,6323
USA_OH_Cleveland.725240_TMY2,840,6331
USA_IA_Decorah.Muni.AP.725476_TMY3,1192,6340
USA_IL_Bloomington.Normal-Central.Illinois.Rgnl.AP.724397_TMY3,1073,6343
USA_IA_Creston.Muni.AP.725474_TMY3,1186,6347
USA_MI_Oakland.County.Intl.AP.726375_TMY3,973,6349
USA_WV_Elkins-Randolph.County.AP.724170_TMY3,691,6372
USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3,971,6372
USA_NY_Newburgh-Stewart.Intl.AP.725038_TMY3,971,6379
USA_KS_Goodland-Renner.Field.724650_TMY,1201,6390
USA_PA_State.College-Penn.State.University.725128_TMY3,784,6395
USA_NE_Ainsworth.Muni.AP.725556_TMY3,1059,6397
USA_OH_Akron.725210_TMY2,822,6411
USA_OH_Akron.Canton.Rgnl.AP.725210_TMY,858,6417
USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3,810,6420
USA_IL_Du.Page.AP.725305_TMY3,1053,6424
USA_IN_Fort.Wayne.Intl.AP.725330_TMY,965,6424
USA_IA_Newton.Muni.AP.725464_TMY3,1032,6430
USA_MI_Kalamazoo-Battle.Creek.Intl.AP.726357_TMY3,831,6432
USA_IA_Le.Mars.Muni.AP.725484_TMY3,1184,6434
USA_MI_Detroit-City.AP.725375_TMY3,1070,6435
USA_MA_Norwood.Mem.AP.725098_TMY3,902,6440
USA_IA_Washington.Muni.AP.725454_TMY3,1182,6443
USA_MI_Battle.Creek-Kellogg.AP.725396_TMY3,871,6454
USA_CT_Danbury.Muni.AP.725086_TMY3,738,6455
USA_IL_Peoria-Greater.Peoria.AP.725320_TMY3,1118,6458
USA_IA_Muscatine.Muni.AP.725487_TMY3,1278,6459
USA_OH_Mansfield.725246_TMY2,900,6460
USA_IA_Shenandoah.Muni.AP.725467_TMY3,1486,6463
USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3,859,6463
USA_NE_Omaha.WSFO.725530_TMY3,1437,6470
USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY,864,6474
USA_NE_Bellevue-Offutt.AFB.725540_TMY3,1302,6480
USA_IL_Moline-Quad.City.Intl.AP.725440_TMY,1104,6493
USA_IN_South.Bend.725350_TMY2,987,6500
USA_MI_Howell-Livingston.County.AP.725378_TMY3,1109,6501
USA_CT_Hartford.725087_TMY2,987,6510
USA_IN_South.Bend-Michiana.Rgnl.AP.725350_TMY,927,6528
USA_NH_Manchester.Muni.AP.743945_TMY3,867,6535
USA_WA_Spokane-Felts.Field.727856_TMY3,831,6536
USA_IL_Sterling-Rock.Falls-Whiteside.County.AP.725326_TMY3,1060,6551
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY,971,6555
USA_IL_Moline.725440_TMY2,1133,6555
USA_WV_Lewisburg-Greenbrier.Valley.AP.724127_TMY3,731,6574
USA_IL_Peoria.725320_TMY2,1127,6576
USA_NE_Kearney.Muni.AWOS.725526_TMY3,1070,6581
USA_IA_Webster.City.Muni.AP.725478_TMY3,1316,6585
USA_WV_Elkins.724170_TMY2,637,6585
USA_NE_Ord-Sharp.Field.725524_TMY3,1174,6587
USA_MO_Kirksville.Muni.AP.724455_TMY3,1238,6595
USA_KS_Goodland.724650_TMY2,1182,6615
USA_PA_Erie.Intl.AP.725260_TMY3,734,6615
USA_CT_Oxford.AWOS.725029_TMY3,734,6618
USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,1054,6622
USA_MI_Jackson-Reynolds.Field.725395_TMY3,948,6625
USA_IN_Fort.Wayne.725330_TMY2,900,6635
USA_PA_Erie.Intl.AP.725260_TMY,634,6644
USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3,791,6644
USA_RI_Pawtucket.AWOS.725054_TMY3,700,6658
USA_NY_Niagara.Falls.Intl.AP.725287_TMY3,773,6658
USA_IL_Moline-Quad.City.Intl.AP.725440_TMY3,1201,6681
USA_PA_Johnstown-Cambria.County.AP.725127_TMY3,645,6684
USA_IL_Chicago-OHare.725300_TMY2,987,6688
USA_IA_Des.Moines.Intl.AP.725460_TMY3,1334,6705
USA_IA_Oelwein.Muni.AP.725488_TMY3,868,6708
USA_IA_Des.Moines.Intl.AP.725460_TMY,1020,6714
USA_IA_Des.Moines.725460_TMY2,1117,6721
USA_IN_Fort.Wayne.Intl.AP.725330_TMY3,1018,6724
USA_NY_Elmira.Rgnl.AP.725156_TMY3,574,6732
USA_MI_Ann.Arbor.Muni.AP.725374_TMY3,741,6733
USA_NE_Grand.Island.725520_TMY2,1236,6739
USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3,855,6745
USA_NE_Holdrege-Brewster.Field.725628_TMY3,1076,6747
USA_MI_Benton.Harbor-Ross.Field-Twin.Cities.AP.726355_TMY3,984,6764
USA_OH_Toledo.Express.AP.725360_TMY,908,6769
USA_VA_Hot.Springs-Ingalls.Field.724115_TMY3,426,6770
USA_MI_St.Clair.County.Intl.AP.725384_TMY3,958,6777
USA_OH_Toledo.Express.AP.725360_TMY3,875,6779
USA_IA_Denison.Muni.AP.725477_TMY3,1266,6782
USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3,803,6796
USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3,656,6800
USA_NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520_TMY,1275,6813
USA_NE_Valentine-Miller.Field.725670_TMY3,1172,6814
USA_MI_Detroit-Willow.Run.AP.725376_TMY3,1069,6825
USA_MI_Detroit.Metro.AP.725370_TMY3,901,6844
USA_OH_Youngstown.Rgnl.AP.725250_TMY,776,6844
USA_PA_Butler.County.AWOS.725124_TMY3,744,6845
USA_OH_Youngstown.Rgnl.AP.725250_TMY3,753,6850
USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3,775,6851
USA_IA_Ottumwa.Industrial.AP.725465_TMY3,1080,6862
USA_NE_North.Platte.Rgnl.AP.725620_TMY3,1107,6862
USA_MA_Beverly.Muni.AP.725088_TMY3,693,6869
USA_WA_Pullman-Moscow.Rgnl.AP.727857_TMY3,623,6873
USA_NE_Tekamah.AWOS.725527_TMY3,1236,6874
USA_IA_Atlantic.Muni.AP.725453_TMY3,1087,6881
USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3,760,6889
USA_IA_Boone.Muni.AP.725486_TMY3,1089,6898
USA_PA_Wilkes.Barre-Scranton.725130_TMY2,762,6898
USA_NY_Buffalo.725280_TMY2,696,6904
USA_WI_Lone.Rock.AP.726416_TMY3,795,6907
USA_MA_North.Adams.AP.725075_TMY3,600,6910
USA_OH_Youngstown.725250_TMY2,745,6925
USA_MI_Detroit-Metro.AP.725370_TMY2,769,6930
USA_NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520_TMY3,1321,6934
USA_NY_Rochester.725290_TMY2,822,6937
USA_PA_Erie.725260_TMY2,636,6939
USA_NE_Columbus.Muni.AP.725565_TMY3,1198,6940
USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY,685,6949
USA_IA_Sioux.City.725570_TMY2,1108,6966
USA_NH_Pease.Intl.Tradeport.726055_TMY3,738,6967
USA_IA_Charles.City.Muni.AP.725463_TMY3,934,6968
USA_WI_Janesville-Rock.County.AP.726415_TMY3,550,6970
USA_OH_Toledo.725360_TMY2,866,7012
USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY,1204,7017
USA_NY_Albany.County.AP.725180_TMY3,749,7032
USA_NY_Albany.County.AP.725180_TMY,874,7043
USA_IA_Orange.City.Muni.AP.725489_TMY3,1041,7044
USA_NE_Broken.Bow.Muni.AP.725555_TMY3,1060,7048
USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3,1193,7052
USA_MI_Grand.Rapids-Kent.County.Intl.AP.726350_TMY,825,7056
USA_IA_Algona.Muni.AP.725457_TMY3,933,7070
USA_WI_Watertown.Muni.AP.726464_TMY3,880,7075
USA_PA_Franklin-Chess.Lemberton.AP.725267_TMY3,560,7078
USA_ME_Wiscasset.AP.727135_TMY3,553,7079
USA_IL_Aurora.Muni.AP.744655_TMY3,980,7092
USA_IA_Clinton.Muni.AWOS.725473_TMY3,1218,7104
USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY,739,7115
USA_NE_Norfolk.725560_TMY2,1229,7115
USA_IA_Carroll.Muni.AP.725468_TMY3,1143,7121
USA_IA_Monticello.Muni.AP.725475_TMY3,1014,7124
USA_IA_Cedar.Rapids.Muni.AP.725450_TMY3,943,7129
USA_MA_Worcester.725095_TMY2,578,7138
USA_MI_Grand.Rapids-Kent.County.Intl.AP.726350_TMY3,812,7141
USA_IA_Sheldon.Muni.AP.725495_TMY3,943,7162
USA_IL_Waukegan.Rgnl.AP.725347_TMY3,825,7162
USA_NE_North.Platte.725620_TMY2,1136,7168
USA_IL_Rockford.725430_TMY2,857,7169
USA_PA_DuBois-Jefferson.County.AP.725125_TMY3,608,7176
USA_IA_Storm.Lake.Muni.AP.725496_TMY3,1024,7185
USA_NE_Fremont.Muni.AP.725564_TMY3,1161,7187
USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3,584,7193
USA_NE_Norfolk-Karl.Stefan.Mem.AP.725560_TMY3,1241,7199
USA_ID_Coeur.dAlene.AWOS.727834_TMY3,645,7199
USA_NY_Utica-Oneida.County.AP.725197_TMY3,641,7200
USA_MI_Flint-Bishop.Intl.AP.726370_TMY,707,7201
USA_MI_Flint.726370_TMY2,674,7213
USA_MI_Muskegon.County.AP.726360_TMY3,699,7213
USA_MI_Flint-Bishop.Intl.AP.726370_TMY3,752,7214
USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY,789,7220
USA_MI_Muskegon.726360_TMY2,682,7228
USA_WI_Appleton-Outagamie.County.AP.726457_TMY3,717,7231
USA_NY_Syracuse.725190_TMY2,708,7265
USA_MI_Saginaw-Tri.City.Intl.AP.726379_TMY3,728,7267
USA_SD_Yankton-Chan.Gurney.Muni.AP.726525_TMY3,1197,7269
USA_NE_North.Platte.Rgnl.AP.725620_TMY,1038,7291
USA_MI_Lansing-Capital.City.AP.725390_TMY3,846,7292
USA_NY_Monticello.AWOS.725145_TMY3,662,7298
USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY,687,7327
USA_AK_Annette.Island.AP.703980_TMY,68,7338
USA_NY_Albany.725180_TMY2,803,7343
USA_MN_Albert.Lea.AWOS.726589_TMY3,1073,7358
USA_NY_Jamestown.AWOS.725235_TMY3,448,7369
USA_MA_Worcester.Rgnl.AP.725095_TMY3,553,7370
USA_SD_Pierre.Muni.AP.726686_TMY3,1109,7371
USA_MI_Lansing.725390_TMY2,799,7376
USA_MI_Grand.Rapids.726350_TMY2,740,7384
USA_NE_Alliance.Muni.AP.725635_TMY3,1117,7407
USA_WI_Manitowac.Muni.AWOS.726455_TMY3,487,7410
USA_IA_Fort.Dodge.AWOS.725490_TMY3,1060,7416
USA_NY_Glens.Falls-Bennett.Mem.AP.725185_TMY3,731,7420
USA_NH_Laconia.Muni.AWOS.726155_TMY3,630,7436
USA_NH_Keene-Dillant.Hopkins.AP.726165_TMY3,744,7446
USA_WI_Sturgeon.Bay-Door.County.AP.726458_TMY3,575,7449
USA_IL_Rockford-Greater.Rockford.AP.725430_TMY3,1016,7475
USA_WI_La.Crosse.Muni.AP.726430_TMY,899,7476
USA_IA_Waterloo.725480_TMY2,815,7482
USA_SD_Rapid.City.Rgnl.AP.726620_TMY3,957,7487
USA_MI_Manistee.AWOS.726385_TMY3,738,7501
USA_IA_Waterloo.Muni.AP.725480_TMY3,1076,7506
USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3,713,7516
USA_SD_Rapid.City.Rgnl.AP.726620_TMY,951,7521
USA_SD_Pierre.726686_TMY2,1097,7535
USA_MI_Oscoda-Wurtsmith.AFB.726395_TMY3,684,7543
USA_ME_Portland.Intl.Jetport.726060_TMY,493,7551
USA_VT_Springfield-Hartnes.State.AP.726115_TMY3,575,7565
USA_ME_Rockland-Knox.AWOS.726079_TMY3,342,7613
USA_OR_Baker.Muni.AP.726886_TMY3,698,7615
USA_ME_Brunswick.NAS.743920_TMY3,544,7617
USA_NH_Lebanon.Muni.AP.726116_TMY3,662,7624
USA_ME_Portland.726060_TMY2,541,7674
USA_VT_Burlington.Intl.AP.726170_TMY3,619,7690
USA_WI_Marshfield.Muni.AP.726574_TMY3,667,7692
USA_NH_Concord.Muni.AP.726050_TMY,732,7699
USA_NY_Watertown.AP.726227_TMY3,577,7742
USA_WI_Madison.726410_TMY2,769,7752
USA_MI_Pellston-Emmet.County.AP.727347_TMY3,693,7761
USA_NH_Concord.Muni.AP.726050_TMY3,710,7791
