,Cdd,Hdd
USA_OH_Dayton-Wright.Patterson.AFB.745700_TMY,1060,5785
USA_CT_Bridgeport.725040_TMY2,928,5795
USA_MA_Provincetown.AWOS.725073_TMY3,705,5816
USA_IL_Chicago-Midway.AP.725340_TMY3,1299,5857
USA_IA_Burlington.Muni.AP.725455_TMY3,1642,5863
USA_IN_Delaware.County-Johnson.Field.725336_TMY3,1231,5864
USA_CT_Groton-New.London.AP.725046_TMY3,575,5864
USA_NE_Beatrice.Muni.AP.725515_TMY3,1369,5890
USA_MA_Barnstable-Boardman.Poland.AP.725067_TMY3,571,5893
USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3,1020,5896
USA_IN_Indianapolis.Intl.AP.724380_TMY,1179,5897
USA_KS_Hill.City.Muni.AP.724655_TMY3,1493,5905
USA_KS_Emporia.Muni.AP.724556_TMY3,1644,5912
USA_MA_Boston-Logan.Intl.AP.725090_TMY,847,5926
USA_MA_New.Bedford.Rgnl.AP.725065_TMY3,783,5930
USA_IN_Indianapolis.724380_TMY2,1153,5932
USA_MA_Boston-Logan.Intl.AP.725090_TMY3,893,5951
USA_NE_McCook.Muni.AP.725625_TMY3,1609,5977
USA_IL_University.of.Illinois-Willard.AP.725315_TMY3,1251,5981
USA_NY_White.Plains-Westchester.County.AP.725037_TMY3,788,5982
USA_MA_Boston-Logan.725090_TMY2,798,5991
USA_CO_Lamar.Muni.AP.724636_TMY3,1655,5993
USA_WV_Wheeling-Ohio.County.AP.724275_TMY3,855,6011
USA_PA_Williamsport.Rgnl.AP.725140_TMY3,1013,6014
USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY,926,6023
USA_NE_Falls.City-Brenner.Field.725533_TMY3,1289,6033
USA_OH_Dayton-Wright.Patterson.AFB.745700_TMY3,1093,6042
USA_RI_Providence-T.F.Green.State.AP.725070_TMY3,914,6047
USA_IA_Knoxville.Muni.AP.725493_TMY3,1433,6062
USA_IA_Council.Bluffs.Muni.AP.725497_TMY3,1170,6065
USA_IN_Indianapolis.Intl.AP.724380_TMY3,1270,6071
USA_PA_Allentown.725170_TMY2,943,6077
USA_IL_Springfield.724390_TMY2,1371,6093
USA_MA_Plymouth.Muni.AP.725064_TMY3,589,6116
USA_PA_Pittsburgh.Intl.AP.725200_TMY3,937,6136
