,Cdd,Hdd
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3,968,1246
USA_CA_San.Diego.722900_TMY2,979,1287
USA_CA_Santa.Ana-John.Wayne.AP.722977_TMY3,973,1421
USA_CA_San.Diego-Lindbergh.Field.722900_TMY,835,1455
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3,1340,1481
USA_CA_Long.Beach.722970_TMY2,1257,1624
USA_CA_Fullerton.Muni.AP.722976_TMY3,1511,1632
USA_CA_Van.Nuys.AP.722886_TMY3,1967,1679
USA_AL_Mobile-Rgnl.AP.722230_TMY,2624,1797
USA_CA_Burbank-Glendale-Passadena.Bob.Hope.AP.722880_TMY3,1822,1815
USA_CA_Long.Beach-Daugherty.Field.722970_TMY,1247,1833
USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3,2643,1967
USA_GA_Albany-Dougherty.County.AP.722160_TMY3,2709,1994
USA_FL_Whiting.Field.NAS.722226_TMY3,2590,2008
USA_FL_Tallahassee.722140_TMY2,2666,2061
USA_FL_Tyndall.AFB.747750_TMY3,2421,2110
USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3,2798,2145
USA_CA_Riverside.Muni.AP.722869_TMY3,1967,2166
USA_GA_Savannah.722070_TMY2,2542,2200
USA_MS_Natchez-Hardy.Anders.Field.722357_TMY3,2341,2202
USA_TX_Lufkin.722446_TMY2,2802,2219
USA_GA_Savannah.Intl.AP.722070_TMY,2435,2245
USA_CA_Chino.AP.722899_TMY3,1985,2264
USA_GA_Valdosta-Moody.AFB.747810_TMY3,2609,2276
USA_FL_Valparaiso-Elgin.AFB.722210_TMY3,2533,2277
USA_SC_Charleston.Intl.AP.722080_TMY3,2534,2282
USA_AL_Dothan.Muni.AP.722268_TMY3,2694,2326
USA_GA_Brunswick-Golden.Isles.AP.722136_TMY3,2793,2339
USA_GA_Columbus.Metro.AP.722255_TMY3,2693,2349
USA_SC_Beaufort.MCAS.722085_TMY3,2413,2349
USA_MS_McComb-Pike.Co.AP.722358_TMY3,2572,2354
USA_LA_Alexandria-Esler.Rgnl.AP.722487_TMY3,2677,2366
USA_AL_Montgomery.722260_TMY2,2405,2398
USA_GA_Alma-Bacon.County.AP.722135_TMY3,2624,2413
USA_TX_Longview-Gregg.County.AP.722470_TMY3,2720,2420
USA_LA_Fort.Polk.722390_TMY3,2741,2432
USA_GA_Savannah-Hunter.AAF.747804_TMY3,2636,2443
USA_SC_Charleston.Intl.AP.722080_TMY,2225,2445
USA_SC_Charleston.722080_TMY2,2266,2463
USA_LA_Shreveport.722480_TMY2,2543,2471
USA_AL_Troy.Air.Field.722267_TMY3,2491,2475
USA_AL_Montgomery-Dannelly.Field.722260_TMY3,2439,2499
USA_LA_Shreveport.Rgnl.AP.722480_TMY,2563,2504
USA_NC_New.Bern-Craven.County.Rgnl.AP.723095_TMY3,2118,2523
USA_AL_Montgomery-Dannelly.Field.722260_TMY,2391,2536
USA_LA_Monroe.Rgnl.AP.722486_TMY3,2582,2545
USA_TX_Fort.Worth.722596_TMY2,2673,2561
USA_TX_Tyler-Pounds.Field.722448_TMY3,2586,2568
USA_MS_Meridian.NAS.722345_TMY3,2436,2570
USA_GA_Columbus.722255_TMY2,2395,2589
USA_MS_Hattiesburg-Laurel.AP.722348_TMY3,2387,2601
USA_SC_Florence.Rgnl.AP.723106_TMY3,2490,2602
USA_LA_Shreveport.Rgnl.AP.722480_TMY3,2646,2610
USA_SC_Myrtle.Beach.AFB.747910_TMY3,2103,2616
USA_TX_Nacogdoches.AWOS.722499_TMY3,2616,2628
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY,2379,2635
USA_GA_Macon.722170_TMY2,2377,2640
USA_NC_Wilmington.Intl.AP.723013_TMY3,2170,2641
USA_AR_Texarkana-Webb.Field.723418_TMY3,2661,2642
USA_CA_Modesto.Muni.AP.724926_TMY3,1883,2651
USA_MS_Jackson.Intl.AP.722350_TMY,2537,2657
USA_MS_Greenville.Muni.AP.722356_TMY3,2709,2672
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3,2476,2695
USA_SC_North.Myrtle.Beach-Grand.Strand.Field.747915_TMY3,1958,2697
USA_NC_Cape.Hatteras.723040_TMY3,1882,2715
USA_AL_Fort.Rucker-Cairns.Field.722269_TMY3,2388,2726
USA_MS_Jackson.Intl.AP.722350_TMY3,2558,2750
USA_MS_Meridian-Key.Field.722340_TMY,2430,2751
USA_NC_Cherry.Point.MCAS.723090_TMY,1957,2751
USA_MS_Jackson.722350_TMY2,2512,2779
USA_NC_Cape.Hatteras.723040_TMY2,1615,2779
USA_MS_Meridian-Key.Field.722340_TMY3,2404,2784
USA_CA_Merced-Macready.Field.724815_TMY3,1937,2808
USA_AL_Maxwell.AFB.722265_TMY3,2647,2828
USA_GA_Augusta-Bush-Field.722180_TMY3,2346,2836
USA_MS_Greenwood-Leflore.AP.722359_TMY3,2444,2840
USA_LA_Barksdale.AFB.722485_TMY3,2538,2841
USA_NC_Cape.Hatteras.723040_TMY,1721,2868
USA_AL_Anniston.Metro.AP.722287_TMY3,1994,2872
USA_AL_Tuscaloosa.Muni.AP.722286_TMY3,2325,2883
USA_CA_Porterville.AWOS.723895_TMY3,2037,2886
USA_NC_Wilmington.723013_TMY2,2098,2887
USA_SC_Columbia.Metro.AP.723100_TMY3,2314,2888
USA_GA_Augusta-Bush-Field.722180_TMY,2177,2890
USA_LA_Shreveport.Downtown.722484_TMY3,2850,2917
USA_MS_Meridian.722340_TMY2,2337,2932
USA_TX_Sherman-Perrin.AFB.722541_TMY,2559,2936
USA_AL_Auburn-Opelika.AP.722284_TMY3,1704,2937
USA_SC_Columbia.Metro.AP.723100_TMY,2330,2943
USA_AL_Birmingham.Muni.AP.722280_TMY3,2172,2956
USA_NC_Elizabeth.City.CGAS.746943_TMY3,1970,2959
USA_CA_Fresno.723890_TMY2,2252,2971
USA_TX_Fort.Worth-Alliance.AP.722594_TMY3,2688,2991
USA_GA_Athens-Ben.Epps.AP.723110_TMY3,1968,2995
USA_TX_Greenville.Muni.AP.722588_TMY3,2737,3015
USA_CA_Yuba.County.AP.724838_TMY3,1965,3017
USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3,1934,3025
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3,2074,3038
USA_AR_Stuttgart.AWOS.723416_TMY3,2326,3039
USA_CA_Lemoore.NAS.747020_TMY3,2215,3051
USA_NC_New.River.MCAS.723096_TMY3,2132,3056
USA_CA_Beale.AFB.724837_TMY3,2090,3064
USA_SC_Columbia.723100_TMY2,2203,3071
USA_GA_Athens.723110_TMY2,1882,3092
USA_AL_Birmingham.Muni.AP.722280_TMY,2040,3104
USA_CA_Fresno.Air.Terminal.723890_TMY,2206,3107
USA_AL_Birmingham.722280_TMY2,1968,3121
USA_GA_Fulton.County.AP.722195_TMY3,1843,3133
USA_NC_Manteo-Dare.County.Rgnl.AP.723046_TMY3,1720,3164
USA_NC_Rocky.Mount-Wilson.AP.723068_TMY3,1734,3180
USA_GA_Augusta.722180_TMY2,2075,3184
USA_VA_Norfolk.NAS.723085_TMY3,1817,3192
USA_TN_Memphis.Intl.AP.723340_TMY3,2343,3208
USA_GA_Warner.Robins.AFB.722175_TMY3,2325,3252
USA_GA_Atlanta.722190_TMY2,1803,3282
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY,1748,3290
USA_MS_Tupelo.Muni-C.D.Lemons.AP.723320_TMY3,2169,3305
USA_TN_Memphis.723340_TMY2,2205,3312
USA_OK_Lawton.Muni.AP.723575_TMY3,2254,3327
USA_AR_Little.Rock-Adams.Field.723403_TMY,2252,3330
USA_AR_Little.Rock-Adams.Field.723403_TMY3,2331,3333
USA_OK_McAlester.Rgnl.AP.723566_TMY3,2344,3338
USA_TX_Cox.Field.722587_TMY3,2305,3360
USA_SC_Shaw.AFB.747900_TMY3,1994,3370
USA_TX_Wichita.Falls.Muni.AP.723510_TMY,2567,3374
USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3,1895,3374
USA_NC_Pitt.Greenville.AP.723065_TMY3,1922,3377
USA_AL_Gadsen.Muni.AWOS.722285_TMY3,1730,3417
USA_AR_Hot.Springs.Mem.AP.723415_TMY3,2282,3427
USA_VA_Franklin.Muni.AP.723083_TMY3,1887,3427
USA_AR_Little.Rock.723405_TMY2,2184,3435
USA_TN_Memphis.Intl.AP.723340_TMY,2230,3440
USA_CA_Visalia.Muni.AWOS.723896_TMY3,2012,3452
USA_GA_Fort.Benning-Lawson.Field.722250_TMY3,2151,3459
USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3,1894,3462
USA_NC_Fort.Bragg-Simmons.AAF.746930_TMY3,2154,3467
USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3,1789,3479
USA_VA_Oceana.NAS.723075_TMY3,1716,3513
USA_AR_Pine.Bluff.AP.723417_TMY3,2596,3524
USA_GA_Rome-Richard.B.Russell.AP.723200_TMY3,2103,3549
USA_TX_Childress.Muni.AP.723604_TMY3,2304,3555
USA_GA_Dekalb.Peachtree.AP.722196_TMY3,1964,3562
USA_NC_Cherry.Point.MCAS.723090_TMY3,1937,3580
USA_VA_Norfolk.Intl.AP.723080_TMY3,1828,3609
USA_AR_Fort.Smith.723440_TMY2,2161,3619
USA_NC_Charlotte.723140_TMY2,1719,3620
USA_MS_Golden.Triangle.Rgnl.AWOS.723307_TMY3,2191,3627
USA_NC_Kinston.Stallings.AFB.723067_TMY3,2051,3647
USA_TN_Jackson-McKellar.Sipes.Rgnl.AP.723346_TMY3,1710,3654
USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY,1753,3657
USA_VA_Newport.News.723086_TMY3,1934,3673
USA_MS_Columbus.AFB.723306_TMY3,2343,3675
USA_VA_Norfolk.723080_TMY2,1631,3682
USA_NC_Fayetteville-Pope.AFB.723030_TMY3,2098,3691
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY,2332,3696
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3,1929,3699
USA_SC_Anderson.County.AP.723125_TMY3,1847,3709
USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3,1814,3713
USA_AR_Little.Rock.AFB.723405_TMY3,2273,3760
USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3,2246,3766
USA_TX_Lubbock.Intl.AP.722670_TMY3,2038,3775
