,Cdd,Hdd
USA_VA_Norfolk.Intl.AP.723080_TMY,1729,3775
USA_AL_Huntsville.723230_TMY2,1873,3784
USA_NC_Fayetteville.Muni.AP.723035_TMY3,1856,3786
USA_TX_Lubbock.722670_TMY2,1906,3787
USA_TN_Chattanooga.723240_TMY2,1843,3793
USA_TN_Nashville.Intl.AP.723270_TMY,1761,3818
USA_NC_Southern.Pines-Moore.County.AP.723143_TMY3,1744,3827
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3,2280,3856
USA_MO_Joplin.Muni.AP.723495_TMY3,2151,3867
USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY,1772,3877
USA_NC_Goldsboro-Seymour.Johnson.AFB.723066_TMY3,2017,3879
USA_VA_Danville.Rgnl.AP.724106_TMY3,1879,3918
USA_TN_Dyersburg.Muni.AP.723347_TMY3,2082,3923
USA_TN_Nashville.Intl.AP.723270_TMY3,1966,3952
USA_AR_Fayetteville-Drake.Field.723445_TMY3,1992,3973
USA_AR_Flippin.AWOS.723447_TMY3,1853,3975
