,Cdd,Hdd
USA_ID_Hailey-Sun.Valley.AP.725865_TMY3,1001,7481
USA_WY_Worland.Muni.AP.726665_TMY3,992,7677
USA_MT_Missoula.Intl.AP.727730_TMY3,632,7686
USA_WY_Rawlins.Muni.AP.725745_TMY3,628,7729
USA_WY_Sheridan.County.AP.726660_TMY,715,7748
USA_MT_Great.Falls.Intl.AP.727750_TMY,712,7769
USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3,839,7809
USA_WY_Lander-Hunt.Field.725760_TMY3,788,7831
USA_WY_Riverton.Rgnl.AP.725765_TMY3,1011,7885
USA_MT_Helena.Rgnl.AP.727720_TMY3,623,7892
USA_ID_Salmon-Lemhi.AWOS.726865_TMY3,732,7905
USA_MT_Missoula.Intl.AP.727730_TMY,541,7909
USA_MT_Miles.City.Muni.AP.742300_TMY3,950,7920
USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY,829,7983
USA_WY_Sheridan.726660_TMY2,735,8048
USA_MT_Great.Falls.727755_TMY2,667,8060
USA_MT_Miles.City.742300_TMY2,866,8069
USA_WY_Casper.725690_TMY2,690,8075
USA_NV_Ely-Yelland.Field.724860_TMY,580,8089
USA_WY_Lander.725760_TMY2,704,8093
USA_MT_Helena.727720_TMY2,635,8122
USA_MT_Great.Falls.Intl.AP.727750_TMY3,650,8162
USA_WY_Laramie-General.Brees.Field.725645_TMY3,486,8175
USA_MT_Helena.Rgnl.AP.727720_TMY,651,8193
USA_ID_Idaho.Falls-Fanning.Field.725785_TMY3,683,8211
USA_CA_South.Lake.Tahoe-Lake.Tahoe.AP.725847_TMY3,415,8252
USA_MT_Miles.City.Muni.AP.742300_TMY,1046,8295
USA_CO_Eagle.County.Rgnl.AP.724675_TMY3,581,8319
USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3,551,8333
USA_CA_Truckee.Tahoe.AP.725846_TMY3,545,8356
USA_NV_Ely.724860_TMY2,561,8471
USA_MT_Cut.Bank.Muni.AP.727796_TMY3,369,8474
USA_CO_Hayden-Yampa.AWOS.725715_TMY3,539,8505
USA_MT_Havre.City-County.AP.727770_TMY3,772,8558
USA_MT_Dillon.726796_TMY,498,8590
USA_CO_Aspen-Pitkin.County-Sardy.Field.724676_TMY3,410,8638
USA_WY_Evanston-Uinta.County.AP-Burns.Field.725775_TMY3,501,8648
USA_WY_Rock.Springs.725744_TMY2,516,8706
USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY,519,8728
USA_MT_Bozeman-Gallatin.Field.726797_TMY3,679,8753
USA_CO_Eagle.County.Rgnl.AP.724675_TMY,577,8829
USA_ID_Soda.Springs-Tigert.AP.725868_TMY3,623,8865
USA_CO_Eagle.724675_TMY2,572,8867
USA_MT_Cut.Bank.727796_TMY2,302,8911
USA_CO_Alamosa.Muni.AP.724620_TMY3,478,8982
USA_CO_Craig.Moffat.AP.725700_TMY3,599,9023
USA_MT_Glasgow.Intl.AP.727680_TMY,800,9109
USA_CO_Alamosa.724620_TMY2,458,9179
USA_MT_Cut.Bank.Muni.AP.727796_TMY,398,9254
USA_UT_Bryce.Canyon.AP.724756_TMY3,468,9387
USA_MT_Butte-Bert.Mooney.AP.726785_TMY3,461,9450
USA_UT_Bryce.Canyon.AP.724756_TMY,300,9632
