,Cdd,Hdd
USA_SD_Rapid.City.726620_TMY2,798,7599
USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY,623,7639
USA_WI_La.Crosse.Muni.AP.726430_TMY3,955,7651
USA_ME_Augusta.AP.726185_TMY3,564,7664
USA_SD_Pierre.Muni.AP.726686_TMY,1212,7690
USA_NY_Binghamton.725150_TMY2,477,7694
USA_WI_Milwaukee.726400_TMY2,656,7704
USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY,791,7734
USA_MN_Faribault.Muni.AWOS.726563_TMY3,750,7739
USA_IA_Dubuque.Rgnl.AP.725470_TMY3,754,7745
USA_NY_Fort.Drum-Wheeler.Sack.AAF.743700_TMY3,575,7757
USA_MN_Fairmont.Muni.AWOS.726586_TMY3,848,7785
USA_VT_Rutland.State.AP.725165_TMY3,718,7797
USA_ME_Portland.Intl.Jetport.726060_TMY3,512,7856
USA_MN_New.Ulm.Muni.AWOS.726567_TMY3,868,7881
USA_MN_Willmar.Muni.AP.726576_TMY3,808,7881
USA_ME_Bangor.Intl.AP.726088_TMY3,661,7883
USA_WI_La.Crosse.726430_TMY2,848,7902
USA_VT_Montpelier.AP.726145_TMY3,503,7917
USA_SD_Sioux.Falls-Foss.Field.726510_TMY3,920,7921
USA_MN_Mankato.AWOS.726585_TMY3,858,7928
USA_MI_Traverse.City-Cherry.Capital.AP.726387_TMY,650,7930
USA_MN_Marshall.Muni-Ryan.Field.AWOS.726559_TMY3,872,7934
USA_MN_Winona.Muni.AWOS.726588_TMY3,865,7952
USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3,839,7958
USA_MN_Worthington.AWOS.726587_TMY3,850,7962
USA_ME_Auburn-Lewiston.Muni.AP.726184_TMY3,565,7964
USA_NH_Concord.726050_TMY2,693,7964
USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY3,919,7970
USA_MI_Menominee.AWOS.726487_TMY3,641,7971
USA_SD_Sioux.Falls-Foss.Field.726510_TMY,995,7972
USA_NE_ONeill-Baker.Field.725566_TMY3,1078,7973
USA_MI_Traverse.City-Cherry.Capital.AP.726387_TMY3,603,7984
USA_MN_Litchfield.Muni.AP.726583_TMY3,793,7995
USA_IA_Mason.City.Muni.AP.725485_TMY,877,7996
USA_MN_Owatonna.AWOS.726568_TMY3,868,8016
USA_MI_Traverse.City.726387_TMY2,679,8016
USA_AK_Sitka-Japonski.Island.AP.703710_TMY3,38,8040
USA_MN_Fergus.Falls.AWOS.726560_TMY3,1040,8043
USA_SD_Ellsworth.AFB.726625_TMY3,1026,8060
USA_ME_Sanford.Muni.AWOS.726064_TMY3,531,8062
USA_WI_Wausau.Muni.AP.726463_TMY3,890,8063
USA_AK_Wrangell.703870_TMY3,83,8079
USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3,723,8081
USA_MN_Edin.Prairie-Flying.Cloud.AP.726579_TMY3,1119,8084
USA_SD_Mitchell.AWOS.726545_TMY3,1112,8088
USA_SD_Sioux.Falls.726510_TMY2,1036,8100
USA_AK_Ketchikan.Intl.AP.703950_TMY3,90,8110
USA_VT_Burlington.726170_TMY2,626,8121
USA_MN_Austin.Muni.AP.727566_TMY3,753,8122
USA_VT_Burlington.Intl.AP.726170_TMY,559,8136
USA_ME_Millinocket.Muni.AP.726196_TMY3,568,8166
USA_IA_Mason.City.Muni.AP.725485_TMY3,878,8166
USA_MN_Red.Wing.Muni.AP.726564_TMY3,986,8167
USA_ME_Waterville.AWOS.726073_TMY3,603,8169
USA_MN_Redwood.Falls.Muni.AP.726556_TMY3,840,8174
USA_MI_Cadillac-Wexford.County.AP.726384_TMY3,647,8179
USA_SD_Brookings.AWOS.726515_TMY3,701,8184
USA_ME_Bar.Harbor.AWOS.726077_TMY3,218,8193
USA_MN_Minneapolis-St.Paul.726580_TMY2,837,8205
USA_WI_Wittman.Rgnl.AP.726456_TMY3,571,8206
USA_ME_Bangor.Intl.AP.726088_TMY,473,8225
USA_SD_Aberdeen.Rgnl.AP.726590_TMY3,919,8230
USA_MN_St.Paul-Downtown.AP.726584_TMY3,790,8234
USA_MT_Missoula.727730_TMY2,638,8254
USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY,939,8279
USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY,654,8284
USA_NY_Massena.AP.726223_TMY3,613,8284
USA_MN_South.St.Paul.Muni.AP.726603_TMY3,952,8290
USA_MT_Kalispell-Glacier.Park.Intl.AP.727790_TMY3,492,8292
USA_MT_Lewistown.Muni.AP.726776_TMY3,408,8314
USA_MI_Houghton-Lake.Roscommon.County.AP.726380_TMY3,570,8320
USA_MN_Rochester.Intl.AP.726440_TMY,663,8368
USA_MI_Alpena.County.Rgnl.AP.726390_TMY,531,8408
USA_PA_Bradford.Rgnl.AP.725266_TMY3,418,8417
USA_MT_Lewistown.Muni.AP.726776_TMY,506,8427
USA_IA_Mason.City.725485_TMY2,752,8429
USA_MT_Glasgow.Intl.AP.727680_TMY3,789,8449
USA_AK_Kake.Seaplane.Base.703855_TMY3,64,8460
USA_MN_Rochester.726440_TMY2,704,8465
USA_AK_Skagway.AP.703620_TMY3,96,8466
USA_IA_Spencer.Muni.AP.726500_TMY3,848,8468
USA_PA_Bradford.725266_TMY2,377,8485
USA_SD_Huron.Rgnl.AP.726540_TMY3,936,8494
USA_MI_Alpena.County.Rgnl.AP.726390_TMY3,563,8521
USA_WI_Green.Bay.726450_TMY2,648,8532
USA_MN_Hutchinson.AWOS.726569_TMY3,823,8541
USA_WI_Eau.Claire.County.AP.726435_TMY,815,8544
USA_AK_Juneau.Intl.AP.703810_TMY3,77,8548
USA_AK_Petersburg.703860_TMY3,62,8556
USA_SD_Huron.726540_TMY2,859,8584
USA_AK_Kodiak.AP.703500_TMY3,50,8597
USA_MN_Rochester.Intl.AP.726440_TMY3,705,8603
USA_MI_Iron.Mountain-Ford.Field.727437_TMY3,711,8607
USA_MT_Kalispell.727790_TMY2,420,8635
USA_NY_Massena.AP.726223_TMY,597,8639
USA_MN_Glenwood.AWOS.726547_TMY3,742,8652
USA_SD_Huron.Rgnl.AP.726540_TMY,1025,8664
USA_MT_Lewistown.726776_TMY2,536,8677
USA_MI_Alpena.726390_TMY2,431,8680
