,Cdd,Hdd
USA_CA_Bakersfield-Meadows.Field.723840_TMY3,2580,2353
USA_CA_Bakersfield.723840_TMY2,2650,2383
USA_CA_Bakersfield-Meadows.Field.723840_TMY,2595,2505
USA_CA_Fresno.Air.Terminal.723890_TMY3,2416,2640
USA_TX_Fort.Worth-Stephenville-Clark.Field.722600_TMY,2692,2644
USA_CA_March.AFB.722860_TMY3,2218,2651
USA_TX_Mineral.Wells.Muni.AP.722597_TMY3,2804,2687
USA_TX_El.Paso.Intl.AP.722700_TMY3,2467,2795
USA_TX_San.Angelo-Mathis.AP.722630_TMY3,2597,2823
USA_TX_Midland.Intl.AP.722650_TMY3,2420,2845
USA_AZ_Douglas-Bisbee.Douglas.Intl.AP.722735_TMY3,2354,2849
USA_TX_Abilene.722660_TMY2,2579,2890
USA_TX_El.Paso.Intl.AP.722700_TMY,2502,2906
USA_TX_Midland.Intl.AP.722650_TMY,2472,2915
USA_AR_El.Dorado-Goodwin.Field.723419_TMY3,2770,2930
USA_TX_Fort.Worth-Meacham.AP.722596_TMY3,2914,2950
USA_TX_San.Angelo.722630_TMY2,2491,2971
USA_UT_Saint.George.AWOS.724754_TMY3,3178,2971
USA_TX_El.Paso.722700_TMY2,2453,3005
USA_TX_Abilene.Rgnl.AP.722660_TMY,2689,3031
USA_CA_Redding.Muni.AP.725920_TMY3,2070,3076
USA_CA_Red.Bluff.Muni.AP.725910_TMY3,2201,3113
USA_TX_Midland-Odessa.722650_TMY2,2382,3123
USA_NM_Carlsbad.Cavern.City.Air.Terminal.722687_TMY3,2684,3152
USA_TX_Wichita.Falls.Muni.AP.723510_TMY3,2666,3154
USA_NM_Las.Cruces.Intl.AP.722695_TMY3,2442,3174
USA_NM_Roswell.Industrial.Air.Park.722680_TMY3,2375,3180
USA_CA_Red.Bluff.Muni.AP.725910_TMY,2228,3197
USA_CA_China.Lake.NAF.746120_TMY3,2897,3202
USA_CA_Palmdale.AP.723820_TMY3,2337,3228
USA_CA_Lancaster-Gen.Wm.Fox.Field.723816_TMY3,2363,3251
USA_TX_Abilene.Rgnl.AP.722660_TMY3,2589,3255
USA_NV_Mercury-Desert.Rock.AP.723870_TMY3,2658,3264
USA_AZ_Kingman.AWOS.723700_TMY3,2709,3278
USA_TX_Wichita.Falls.723510_TMY2,2682,3352
USA_NM_Deming.Muni.AP.722725_TMY3,2370,3356
USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY3,2046,3410
USA_OK_Altus.AFB.723520_TMY3,2959,3573
USA_CA_Edwards.AFB.723810_TMY3,2180,3621
USA_NM_Holloman.AFB.747320_TMY3,2159,3700
USA_OK_Fort.Sill-Henry.Post.AAF.723550_TMY3,2672,3715
USA_OK_Hobart.Muni.AP.723525_TMY3,2599,3822
USA_AZ_Page.Muni.AWOS.723710_TMY3,2182,3871
USA_NM_Roswell.Industrial.Air.Park.722680_TMY,2054,4016
USA_OK_Ponca.City.Muni.AP.723546_TMY3,2617,4070
