,Cdd,Hdd
USA_CA_Sandberg.723830_TMY3,1276,3799
USA_NM_Tucumcari.723676_TMY2,1775,4283
USA_NM_Tucumcari.AP.723676_TMY,1900,4284
USA_NM_Ruidoso-Sierra.Blanca.Rgnl.AP.722683_TMY3,943,4438
USA_NM_Tucumcari.AP.723676_TMY3,1767,4457
USA_NM_Albuquerque.Intl.AP.723650_TMY3,1578,4466
USA_AZ_Prescott-Love.Field.723723_TMY3,1410,4519
USA_NM_Albuquerque.723650_TMY2,1547,4698
USA_CA_Bishop.AP.724800_TMY3,1745,4710
USA_NM_Albuquerque.Intl.AP.723650_TMY,1562,4737
USA_AZ_Prescott.723723_TMY2,1310,4817
USA_NM_Clovis.Muni.AWOS.722689_TMY3,1767,4844
USA_NM_Clovis-Cannon.AFB.722686_TMY3,1908,4855
USA_AZ_Prescott-Love.Field.723723_TMY,1279,4875
USA_AZ_Winslow.Muni.AP.723740_TMY3,1701,4888
USA_AZ_Show.Low.Muni.AP.723747_TMY3,1049,4926
USA_AZ_Winslow.Muni.AP.723740_TMY,1581,5073
USA_WA_Walla.Walla.City-County.AP.727846_TMY3,1080,5085
USA_NM_Clayton.Muni.AP.723600_TMY3,1513,5129
USA_CA_Blue.Canyon.AP.725845_TMY3,592,5308
USA_NV_Yucca.Flats.723850_TMY,1587,5348
USA_UT_Moab-Canyonlands.Field.724776_TMY3,1619,5416
USA_NM_Clayton.Muni.AP.723600_TMY,984,5493
USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880_TMY3,876,5496
USA_CO_La.Junta.Muni.AP.724635_TMY3,1696,5574
USA_CO_Grand.Junction-Walker.Field.724760_TMY3,1532,5585
USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3,1360,5591
USA_CA_Montague-Siskiyou.County.AP.725955_TMY3,1066,5599
USA_OR_Pendleton.726880_TMY2,984,5608
USA_NV_Fallon.NAS.724885_TMY3,1457,5611
USA_NM_Farmington-Four.Corners.Rgnl.AP.723658_TMY3,1456,5633
USA_NM_Las.Vegas-Muni.AP.723677_TMY3,779,5652
USA_CO_Trinidad-Las.Animas.County.AP.724645_TMY3,1210,5684
USA_CO_Pueblo.Mem.AP.724640_TMY3,1448,5692
USA_ID_Lewiston-Nez.Perce.County.AP.727830_TMY3,1127,5700
USA_ID_Lewiston-Nez.Perce.County.AP.727830_TMY,929,5715
USA_ID_Boise.Air.Terminal.726810_TMY3,1084,5724
USA_CO_Pueblo.724640_TMY2,1397,5725
USA_CO_Pueblo.Mem.AP.724640_TMY,1399,5739
USA_UT_Hanksville.AP.724735_TMY3,1869,5786
USA_NV_Tonopah.724855_TMY2,1121,5798
USA_WA_Ephrata.Muni.AP.727826_TMY3,1162,5855
USA_NV_Lovelock-Derby.Field.725805_TMY3,1346,5865
USA_NM_Santa.Fe.County.Muni.AP.723656_TMY3,1020,5880
USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3,1137,6007
