,Cdd,Hdd
USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3,3949,478
USA_FL_Naples.Muni.AP.722038_TMY3,3667,517
USA_FL_St.Petersburg-Albert.Whitted.Station.722104_TMY3,3938,565
USA_FL_Melbourne.Rgnl.AP.722040_TMY3,3463,566
USA_FL_Southwest.Florida.Intl.AP.722108_TMY3,3762,585
USA_TX_Corpus.Christi.NAS.722515_TMY3,3873,753
USA_TX_Harlingen-Valley.Intl.AP.722505_TMY3,4064,768
USA_FL_Orlando.Intl.AP.722050_TMY3,3496,789
USA_FL_Orlando.Executive.AP.722053_TMY,3556,798
USA_FL_Sarasota-Bradenton.Intl.AP.722115_TMY3,3482,816
USA_TX_Rockport-Aransas.Co.AP.722524_TMY3,3722,837
USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY,3839,847
USA_FL_Tampa.Intl.AP.722110_TMY3,3652,855
USA_TX_Brownsville.722500_TMY2,3764,859
USA_FL_Orlando.Executive.AP.722053_TMY3,3718,872
USA_FL_Tampa.Intl.AP.722110_TMY,3325,880
USA_FL_St.Petersburg-Clearwater.Intl.AP.722116_TMY3,3758,911
USA_FL_Tampa.722110_TMY2,3544,932
USA_FL_NASA.Shuttle.Landing.Facility.747946_TMY3,3216,942
USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY3,4059,943
USA_FL_Fort.Pierce-St.Lucie.County.AP.722103_TMY3,3227,995
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3,3100,1030
USA_FL_Daytona.Beach.Intl.AP.722056_TMY,2876,1055
USA_FL_MacDill.AFB.747880_TMY3,3720,1082
USA_TX_Corpus.Christi.Intl.AP.722510_TMY,3696,1094
USA_FL_Daytona.Beach.722056_TMY2,2962,1097
USA_TX_Corpus.Christi.722510_TMY2,3488,1105
USA_TX_Kingsville.722516_TMY,3863,1110
USA_TX_Corpus.Christi.Intl.AP.722510_TMY3,3522,1144
USA_TX_Kingsville.722516_TMY3,3681,1156
USA_FL_Lakeland.Linder.Rgnl.AP.722119_TMY3,3565,1174
USA_FL_Mayport.NS.722066_TMY3,2959,1191
USA_TX_Galveston.722420_TMY3,3206,1204
