,Cdd,Hdd
USA_TX_Houston-William.P.Hobby.AP.722435_TMY3,3198,1217
USA_FL_Jacksonville-Craig.Field.722068_TMY3,2861,1229
USA_FL_Jacksonville.NAS.722065_TMY3,3233,1279
USA_GA_Brunswick-Malcolm.McKinnon.AP.722137_TMY3,2691,1334
USA_TX_Victoria.722550_TMY2,3210,1371
USA_FL_Pensacola.Rgnl.AP.722223_TMY3,2909,1373
USA_LA_New.Orleans-Lakefront.AP.722315_TMY3,3248,1398
USA_LA_New.Orleans-Alvin.Callender.Field.722316_TMY3,2852,1428
USA_FL_Ocala.Muni.AWOS.722055_TMY3,3061,1487
USA_FL_Panama.City-Bay.County.AP.722245_TMY3,3101,1495
USA_TX_Austin-Mueller.Muni.AP.722540_TMY3,3138,1524
USA_TX_Victoria.Rgnl.AP.722550_TMY3,3279,1546
USA_TX_Palacios.Muni.AP.722555_TMY3,3221,1556
USA_FL_Gainesville.Rgnl.AP.722146_TMY3,2933,1578
USA_FL_Apalachicola.722200_TMY,2895,1581
USA_LA_New.Orleans.Intl.AP.722310_TMY3,3016,1589
USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY,3108,1592
USA_LA_New.Orleans.Intl.AP.722310_TMY,2763,1597
USA_TX_Houston-D.W.Hooks.AP.722429_TMY3,3245,1598
USA_FL_Jacksonville.Intl.AP.722060_TMY,2930,1602
USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY3,3086,1606
USA_FL_Jacksonville.Intl.AP.722060_TMY3,2898,1612
USA_TX_Houston-Ellington.AFB.722436_TMY3,3243,1638
USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY,2868,1644
USA_LA_Patterson.Mem.AP.722329_TMY3,2784,1672
USA_LA_New.Orleans.722315_TMY2,2754,1680
USA_FL_Jacksonville.722060_TMY2,2914,1694
USA_LA_Lake.Charles.Rgnl.AP.722400_TMY,2845,1696
USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3,3243,1707
USA_TX_Beaumont-Port.Arthur.722410_TMY2,2899,1751
USA_GA_Valdosta.Rgnl.AP.722166_TMY3,3111,1774
USA_TX_Houston-Intercontinental.722430_TMY2,3064,1807
USA_MS_Gulfport-Biloxi.Intl.AP.747685_TMY3,2755,1817
USA_FL_Pensacola-Forest.Sherman.NAS.722225_TMY3,2797,1832
USA_LA_Lafayette.RgnlAP.722405_TMY3,2929,1835
USA_LA_Baton.Rouge-Ryan.AP.722317_TMY,2786,1836
USA_LA_Lake.Charles.Rgnl.AP.722400_TMY3,2832,1871
USA_TX_Austin.722540_TMY2,3222,1888
USA_TX_College.Station-Easterwood.Field.722445_TMY3,2930,1895
USA_LA_Lake.Charles.722400_TMY2,2841,1899
USA_LA_Houma-Terrebonne.AP.722406_TMY3,3069,1907
USA_FL_Tallahassee.Rgnl.AP.722140_TMY3,2735,1910
USA_LA_Baton.Rouge.722317_TMY2,2714,1922
USA_AL_Mobile-Downtown.AP.722235_TMY3,2619,1926
USA_LA_New.Iberia.722314_TMY3,2778,1943
USA_TX_Hondo.Muni.AP.722533_TMY3,3077,1946
USA_TX_Austin-Camp.Mabry.722544_TMY3,3187,1947
USA_TX_San.Antonio.722536_TMY2,3131,1947
USA_AL_Mobile-Rgnl.AP.722230_TMY3,2753,1952
USA_AL_Mobile.722230_TMY2,2753,1957
USA_LA_Lake.Charles.AP.722404_TMY3,2892,2015
USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2876,2017
USA_TX_Austin-Mueller.Muni.AP.722540_TMY,3109,2018
USA_FL_Tallahassee.Rgnl.AP.722140_TMY,2661,2029
USA_GA_Savannah.Intl.AP.722070_TMY3,2757,2042
USA_LA_Alexandria-England.AFB.747540_TMY3,2788,2054
USA_MS_Biloxi-Keesler.AFB.747686_TMY3,2788,2127
USA_TX_Lufkin-Angelina.Co.AP.722446_TMY,2921,2137
USA_FL_Fort.Walton.Beach-Hurlburt.Field.747770_TMY3,2638,2182
USA_TX_Waco.722560_TMY2,2843,2386
