,Cdd,Hdd
USA_TX_McAllen-Miller.Intl.AP.722506_TMY3,4123,953
USA_FL_Orlando-Sanford.AP.722057_TMY3,3444,956
USA_TX_Laredo.Intl.AP.722520_TMY,4364,1098
USA_TX_Alice.Intl.AP.722517_TMY3,4263,1145
USA_AZ_Yuma.Intl.AP.722800_TMY,4565,1175
USA_TX_Del.Rio-Laughlin.AFB.722615_TMY3,4351,1224
USA_TX_Cotulla.AP.722526_TMY3,4164,1234
USA_CA_Imperial.County.AP.747185_TMY3,4638,1262
USA_TX_Laredo.Intl.AP.722520_TMY3,4308,1403
USA_AZ_Scottsdale.Muni.AP.722789_TMY3,4342,1496
USA_AZ_Davis-Monthan.AFB.722745_TMY3,3734,1515
USA_AZ_Luke.AFB.722785_TMY3,4532,1520
USA_AZ_Phoenix-Deer.Valley.AP.722784_TMY3,4323,1536
USA_AZ_Phoenix.722780_TMY2,4205,1543
USA_CA_Palm.Springs-Thermal.AP.747187_TMY3,4472,1552
USA_TX_Del.Rio.722610_TMY3,3445,1604
USA_TX_Del.Rio.722610_TMY,3313,1642
USA_TX_San.Antonio-Stinson.AP.722523_TMY3,3284,1738
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY,3995,1745
USA_TX_San.Antonio.Intl.AP.722530_TMY3,3266,1821
USA_AZ_Casa.Grande.AWOS.722748_TMY3,4068,1825
USA_TX_San.Antonio.Intl.AP.722530_TMY,3277,1894
USA_TX_San.Antonio-Kelly.AFB.722535_TMY3,3800,1899
USA_AZ_Tucson.Intl.AP.722740_TMY3,3363,1941
USA_AZ_Tucson.722740_TMY2,3179,1971
USA_AZ_Tucson.Intl.AP.722740_TMY,3176,2020
USA_CA_Twentynine.Palms.690150_TMY3,3576,2068
USA_TX_Randolph.AFB.722536_TMY3,3440,2068
USA_CA_Barstow-Daggett.723815_TMY2,3330,2086
USA_TX_Killeen-Fort.Hood.Rgnl.AP.722576_TMY3,3270,2135
USA_TX_Dallas-Redbird.AP.722599_TMY3,3194,2215
USA_CA_Barstow.Daggett.AP.723815_TMY3,3388,2282
USA_CA_Barstow.Daggett.AP.723815_TMY,3106,2304
USA_AZ_Safford.AWOS.722747_TMY3,3184,2315
USA_TX_Fort.Worth.NAS.722595_TMY3,2869,2338
USA_TX_Fort.Hood.722570_TMY3,3308,2406
USA_TX_Killeen.Muni.AWOS.722575_TMY3,3032,2411
USA_NV_Nellis.AFB.723865_TMY3,3856,2418
USA_TX_Georgetown.AWOS.722547_TMY3,3027,2439
USA_TX_Waco.Rgnl.AP.722560_TMY,3113,2440
USA_TX_San.Angelo-Mathis.AP.722630_TMY,2920,2455
USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3,3404,2518
USA_TX_Waco.Rgnl.AP.722560_TMY3,2967,2520
USA_NV_Las.Vegas.723860_TMY2,3296,2523
USA_TX_Dallas-Love.Field.722583_TMY3,3509,2554
USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3,2932,2587
USA_TX_Draughon-Miller.Central.Texas.AP.722577_TMY3,3031,2589
USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY,3301,2657
USA_TX_McGregor.AWOS.722563_TMY3,2927,2670
USA_TX_Wink-Winkler.County.AP.722656_TMY3,3259,2756
USA_CA_China.Lake.NAF.746120_TMY,3140,2806
USA_TX_Abilene-Dyess.AFB.690190_TMY3,3470,2916
USA_TX_Dallas-Addison.AP.722598_TMY3,3098,2967
